DL_1,DL_2,DL_3,DL_4,DL_5,DL_6,PT_1
3.0,1.8,4.25,3.6,1.75,4.0,4.0
4.5,3.6,3.25,4.6,4.5,4.333,4.667
3.0,3.2,3.5,3.2,4.25,2.667,3.0
3.5,4.2,4.5,3.6,4.0,5.0,3.0
2.75,4.0,3.5,2.6,4.5,2.667,2.667
4.5,3.0,4.75,3.0,3.25,4.667,4.333
3.0,1.8,3.5,3.4,1.5,3.0,3.0
3.75,3.4,4.0,2.6,4.75,3.667,3.667
4.25,3.0,3.5,2.2,4.0,4.0,3.333
3.25,3.4,4.25,4.2,4.0,4.333,4.0
3.25,1.8,4.25,3.2,2.75,3.667,3.0
3.75,4.2,3.75,4.0,3.0,5.0,3.667
2.75,2.2,4.0,4.4,4.25,4.0,3.333
4.25,2.2,3.25,2.6,3.5,3.667,3.0
4.75,4.2,4.0,3.4,4.5,4.0,4.0
3.0,2.0,2.75,3.2,3.75,4.333,2.667
3.0,3.6,3.25,3.4,2.75,3.667,3.0
3.0,3.8,4.0,4.0,4.5,4.333,3.333
2.0,1.8,3.5,3.0,3.75,2.667,2.667
3.25,4.4,3.5,3.2,4.5,4.667,3.0
4.0,3.4,3.75,3.6,3.5,4.0,3.667
4.25,3.4,4.0,4.4,4.0,5.0,4.0
4.75,3.4,3.5,4.2,4.5,4.333,4.0
4.25,3.0,4.0,4.2,4.5,4.0,4.0
3.5,2.8,3.75,3.8,2.75,5.0,3.667
3.75,3.4,4.25,3.4,3.0,4.333,3.667
5.0,2.4,4.0,3.6,4.5,4.667,4.0
5.0,3.6,2.0,2.4,4.5,4.333,2.0
4.25,3.0,4.0,3.4,3.25,4.333,4.0
4.5,4.4,3.5,3.2,3.25,4.333,3.667
4.75,4.8,4.75,3.4,4.5,4.333,4.0
4.5,1.8,3.25,4.2,4.25,3.333,4.0
4.5,2.2,3.5,4.6,3.75,5.0,4.0
5.0,3.4,3.5,3.4,4.25,4.333,3.667
3.25,2.6,2.25,1.8,4.5,2.333,2.0
4.75,4.2,5.0,4.2,4.5,4.0,5.0
4.0,4.4,2.0,3.6,4.5,4.0,3.333
4.75,3.0,3.25,4.8,4.0,4.333,4.333
4.0,3.0,4.25,3.6,4.25,4.667,3.667
3.75,3.0,3.5,4.0,3.0,5.0,3.667
3.0,4.0,3.5,3.6,3.25,3.667,3.333
4.75,4.2,3.5,4.2,3.75,3.333,4.0
4.75,4.6,3.25,3.4,4.0,2.667,3.333
4.5,4.0,3.5,4.4,4.0,3.333,4.0
4.75,3.6,3.25,4.2,4.5,4.333,4.0
3.0,3.6,2.25,3.4,4.25,4.0,3.0
4.5,4.6,2.0,2.4,4.25,2.0,2.0
4.5,1.6,3.5,3.6,3.75,4.667,3.667
2.5,3.4,2.75,3.6,4.25,3.0,2.333
4.0,3.4,3.75,3.4,3.75,4.333,3.333
4.5,1.6,4.75,4.4,2.5,4.333,4.333
3.5,3.8,4.0,3.8,3.75,4.0,3.333
3.75,2.6,4.75,3.2,2.5,4.333,3.333
2.5,2.6,3.75,2.6,2.0,3.667,2.333
4.25,3.4,4.25,4.0,4.25,4.0,4.0
4.75,3.8,3.25,3.4,3.75,4.333,3.667
4.5,2.8,3.25,4.2,3.5,5.0,3.667
2.25,3.2,2.5,2.6,2.75,1.667,2.0
3.75,3.0,4.25,3.6,3.5,4.333,3.333
4.25,4.0,4.25,3.8,3.75,4.333,4.0
4.5,3.2,3.75,3.0,4.25,4.0,4.0
2.5,2.0,3.5,3.4,2.25,2.667,3.0
2.5,3.4,4.0,4.2,4.25,4.333,4.0
4.5,3.6,4.0,3.4,3.5,4.667,4.0
3.5,3.2,4.75,3.6,2.25,4.333,4.0
4.25,3.4,4.0,3.6,4.0,4.667,3.333
4.25,3.2,4.25,3.6,4.0,4.0,4.0
4.5,3.4,4.25,3.4,4.0,4.333,4.0
4.75,3.0,3.0,3.4,4.0,4.0,4.0
3.5,3.4,4.0,4.0,3.75,4.667,4.0
5.0,2.8,3.25,3.8,4.75,4.667,3.333
4.75,4.2,3.0,3.4,4.25,4.0,3.0
2.5,2.6,2.0,2.6,3.25,2.667,2.0
4.5,3.2,4.0,4.0,4.5,4.333,4.0
4.0,4.2,4.0,3.0,4.75,4.333,4.0
4.5,1.6,4.75,3.8,4.0,4.0,4.0
4.25,2.8,3.25,3.0,3.25,2.0,3.0
4.75,3.8,4.25,3.4,4.5,4.0,4.0
4.75,4.0,4.25,4.0,4.25,4.333,4.0
4.25,3.2,4.5,3.4,4.25,4.667,4.0
4.0,2.0,3.75,3.6,4.0,3.0,3.333
4.25,2.8,4.0,4.0,4.25,4.333,4.0
4.75,3.4,3.75,4.4,4.0,4.0,4.0
4.0,4.2,3.75,4.0,3.75,4.333,3.667
4.25,3.4,4.0,3.2,4.0,4.667,3.333
3.75,4.4,4.25,4.0,4.5,4.333,4.0
3.5,3.4,3.75,2.6,3.75,3.0,3.333
4.25,2.6,4.5,4.4,3.25,4.333,4.0
1.25,3.2,3.5,3.2,3.0,4.333,3.0
4.0,2.2,3.75,4.6,3.25,4.333,4.0
4.25,2.8,5.0,4.4,4.75,4.333,4.667
4.5,4.0,4.25,4.2,4.0,4.333,4.0
4.5,3.4,4.25,3.4,3.75,5.0,4.0
3.0,3.6,4.0,3.2,4.0,4.0,3.667
4.75,4.0,3.25,4.2,3.75,4.667,3.667
3.25,1.8,3.0,2.2,3.25,3.667,3.0
3.25,2.4,2.5,3.4,3.25,3.333,2.667
4.5,1.2,3.5,3.2,2.25,2.667,3.333
4.5,4.0,2.25,2.4,4.0,4.667,2.333
4.75,4.4,4.5,3.6,4.0,4.0,4.0
4.25,3.6,3.5,4.6,3.5,3.667,4.0
4.25,3.8,4.0,3.6,4.0,4.667,3.0
4.5,3.0,4.5,3.4,2.75,3.667,4.333
4.0,1.4,4.0,3.4,3.75,4.0,3.0
4.5,4.2,3.5,2.8,4.25,4.667,3.667
4.5,3.2,4.25,3.8,2.5,3.333,4.0
4.5,3.8,3.0,2.8,4.25,2.667,3.0
4.5,2.2,4.25,3.0,2.0,4.333,4.0
4.5,3.0,3.75,3.2,3.0,4.667,4.0
4.75,1.8,5.0,3.6,2.75,3.667,4.667
4.5,3.0,4.5,4.6,4.5,4.0,5.0
3.0,2.0,2.75,3.2,2.5,4.333,3.0
5.0,2.6,2.75,3.6,4.0,3.333,3.333
5.0,3.6,4.0,4.6,3.75,4.667,4.0
2.0,2.2,2.0,2.6,3.0,4.0,2.0
4.75,4.8,4.25,3.6,3.75,4.667,4.0
4.25,2.0,3.5,3.6,2.75,3.667,3.667
4.25,2.6,3.75,3.8,4.0,3.667,3.667
1.25,3.0,3.0,1.2,3.75,3.333,2.0
4.25,3.8,4.75,3.2,3.0,5.0,4.0
4.5,4.4,4.75,3.4,4.0,4.0,4.333
4.25,2.6,3.5,4.4,3.25,4.333,3.333
4.0,3.8,4.25,4.2,5.0,3.333,4.0
4.5,3.4,4.25,3.4,4.5,4.667,4.0
4.25,3.8,4.25,4.2,3.5,3.667,4.0
3.5,3.0,2.0,2.4,3.75,4.0,2.0
4.25,3.0,3.25,3.6,4.25,4.667,3.667
4.75,3.0,4.75,4.0,4.5,4.333,5.0
4.0,3.2,3.75,3.6,3.75,4.667,3.667
3.5,3.0,4.0,2.8,3.5,4.333,4.0
4.75,3.2,4.0,4.0,4.25,3.667,4.0
4.0,3.0,4.0,2.4,4.0,4.333,3.667
4.25,3.6,3.5,2.6,4.25,4.333,3.333
4.25,3.0,3.5,4.2,3.25,5.0,3.667
4.25,2.6,4.0,3.4,4.0,3.667,4.0
4.5,3.2,4.0,4.4,3.75,5.0,4.0
4.5,3.4,3.5,4.0,3.75,5.0,4.0
4.75,3.8,2.25,3.2,4.5,4.667,3.0
4.5,3.0,3.75,2.8,3.5,3.667,3.333
4.75,3.6,2.5,4.0,4.25,3.333,3.0
4.25,4.0,4.0,3.6,3.5,5.0,4.0
4.5,3.4,4.25,3.6,4.5,3.667,4.0
2.75,2.8,3.25,4.2,2.75,4.667,3.0
3.0,2.8,3.0,1.8,3.5,3.0,2.0
4.5,4.0,4.25,4.2,4.0,4.333,4.0
4.25,3.4,3.5,3.4,4.0,2.333,4.0
4.5,3.0,4.5,4.6,4.25,3.333,4.667
4.25,2.8,4.5,3.6,4.25,4.0,4.0
4.5,3.2,2.75,2.4,4.0,2.667,3.0
4.5,2.0,4.75,3.4,3.75,4.667,4.333
4.5,3.6,4.5,4.8,3.5,3.0,5.0
2.75,3.2,3.75,1.6,3.25,2.333,3.0
4.5,3.0,4.5,3.4,3.0,4.333,4.0
4.25,3.4,4.5,4.6,3.5,4.667,4.333
4.25,4.2,3.25,3.6,4.75,4.0,3.0
4.75,4.0,4.25,4.4,4.25,4.333,4.0
1.5,3.4,2.5,1.4,2.5,2.0,2.0
3.0,2.4,2.25,2.6,2.5,4.0,2.333
4.25,3.4,3.75,3.6,4.5,4.333,3.667
4.0,3.2,4.5,4.4,3.75,4.333,4.0
4.75,2.4,4.0,3.2,2.75,4.667,4.0
3.75,3.0,3.75,3.8,4.0,4.667,3.667
4.25,3.4,4.25,3.6,3.75,3.667,4.0
3.25,3.0,2.75,2.6,3.75,2.0,2.667
4.75,2.6,3.5,3.8,4.25,4.333,3.333
2.0,2.6,4.25,3.6,2.75,2.667,3.333
4.5,2.4,4.0,4.6,3.5,5.0,4.0
5.0,3.4,3.75,4.6,4.75,4.667,4.0
4.75,3.4,4.5,3.6,4.0,4.667,4.0
3.75,3.6,3.25,4.8,5.0,4.0,3.667
4.75,4.0,4.0,3.6,4.25,4.333,4.0
4.75,3.2,3.75,3.4,3.75,4.0,3.667
4.5,3.6,4.25,3.6,4.25,4.333,4.0
4.75,3.8,4.0,3.8,4.25,5.0,4.0
4.75,3.6,3.5,5.0,4.25,3.667,4.0
2.5,3.8,3.75,3.4,4.25,4.0,3.333
4.0,2.8,2.5,2.4,2.25,4.0,2.667
3.25,4.0,3.5,1.8,3.25,4.0,3.0
4.75,4.2,3.75,2.8,3.75,2.333,3.667
4.25,3.2,4.5,3.4,4.0,4.667,4.0
4.5,3.2,3.25,3.4,4.0,4.333,3.0
4.5,4.4,4.25,3.6,4.25,4.0,4.0
4.5,3.0,3.75,4.6,3.0,3.667,4.0
4.0,3.8,3.75,3.6,4.25,4.333,3.333
4.75,2.4,4.0,3.4,2.75,4.0,4.0
4.25,3.6,3.25,3.2,4.5,4.333,4.0
5.0,3.6,3.0,3.4,5.0,2.667,4.0
4.25,3.2,4.25,4.6,4.0,4.0,4.0
4.25,3.2,3.75,4.0,4.0,4.667,3.0
4.0,3.6,3.5,4.0,2.75,5.0,3.667
2.5,1.4,4.0,4.4,1.5,4.333,2.667
4.5,3.2,3.75,4.4,4.0,5.0,3.667
4.25,3.8,3.0,2.4,4.0,4.0,4.0
4.5,3.2,3.5,3.2,4.25,2.667,4.0
4.25,3.4,4.25,3.8,3.5,4.667,3.0
4.75,3.2,3.75,3.8,4.75,3.667,4.0
4.5,3.6,4.0,3.4,4.75,3.333,4.0
3.5,3.6,3.0,4.0,4.0,3.333,3.667
3.75,3.4,3.75,2.2,4.0,3.333,3.333
2.75,3.2,4.25,2.4,4.0,3.667,3.0
4.25,3.6,4.5,3.6,3.5,3.0,3.667
3.25,3.2,2.5,2.4,2.25,3.0,2.667
4.0,3.0,3.75,3.8,4.75,3.0,3.667
4.75,3.0,3.5,4.4,4.5,4.333,4.0
4.25,4.2,4.25,3.2,4.5,4.667,4.0
3.75,2.2,3.0,3.4,2.75,4.0,3.0
3.25,3.4,2.0,1.8,3.0,4.667,3.0
2.75,3.2,4.0,2.8,4.75,2.667,3.0
2.25,3.6,3.25,2.4,3.25,4.0,2.667
4.75,3.2,3.0,4.0,3.0,4.333,3.0
4.0,3.8,3.75,3.4,4.25,4.333,4.0
3.75,3.4,3.5,1.6,3.5,3.667,3.667
4.25,3.2,4.0,4.6,2.5,4.333,3.333
4.75,3.6,4.0,3.4,4.0,3.667,3.667
5.0,3.4,2.5,3.4,4.25,4.0,3.0
4.5,3.6,4.0,3.2,2.5,5.0,4.0
4.75,3.8,4.0,4.4,4.5,5.0,4.0
4.25,2.4,4.25,3.6,3.25,4.0,4.0
4.25,4.0,3.75,3.6,4.5,3.0,4.0
4.0,3.2,3.0,4.0,2.5,3.667,3.0
4.5,3.0,3.5,3.6,4.0,4.0,3.667
3.25,3.8,3.75,3.4,4.0,3.333,4.0
3.5,2.0,4.0,4.0,4.0,4.0,3.333
4.25,2.2,2.5,3.8,3.5,4.667,3.0
4.0,1.2,3.75,4.4,4.0,4.0,3.333
4.5,4.6,3.0,3.0,3.5,2.667,3.667
4.5,4.2,3.0,4.0,4.25,4.333,4.0
4.5,4.6,4.25,4.2,4.0,4.333,4.0
2.25,2.4,2.75,2.6,2.5,3.0,1.0
2.75,3.6,4.0,3.2,3.5,3.0,3.333
4.25,3.2,3.75,3.6,4.0,4.333,3.667
3.0,1.4,3.25,3.0,3.25,3.0,2.667
4.5,2.8,3.0,4.6,4.0,4.667,4.0
4.5,3.6,3.5,2.8,3.5,4.0,3.333
4.5,2.4,2.25,3.6,3.25,4.0,3.0
4.25,3.0,4.0,4.0,2.75,3.667,4.0
3.25,3.0,3.75,2.4,4.0,2.667,3.0
4.75,3.0,3.25,2.6,3.5,4.667,3.0
4.25,4.2,4.75,3.8,3.75,4.333,4.0
2.5,2.2,3.0,3.0,3.75,3.333,2.667
4.5,3.6,4.0,3.6,4.25,4.333,4.0
3.75,3.4,4.25,4.0,4.75,4.667,4.0
4.75,3.2,4.0,4.0,4.25,4.333,4.0
4.75,3.2,3.75,3.4,4.25,4.0,3.667
4.25,3.2,4.25,3.4,4.25,4.667,3.333
3.5,3.4,3.25,3.0,3.75,2.667,3.0
3.5,2.6,3.25,1.4,3.75,4.333,2.667
3.75,3.2,4.25,3.6,4.0,3.667,3.333
4.75,4.2,4.5,3.4,4.0,4.667,4.0
4.25,3.0,2.75,1.4,4.25,3.333,3.0
4.75,2.4,3.0,3.6,2.75,4.333,3.0
4.0,3.0,3.75,3.2,4.25,5.0,4.0
2.25,1.6,3.0,3.2,2.5,4.0,2.0
4.5,4.4,4.0,3.4,5.0,4.667,2.667
4.25,3.6,4.25,3.8,4.5,4.333,2.667
4.75,3.6,3.75,4.6,2.25,3.667,4.0
3.75,3.8,4.5,3.0,2.75,4.667,3.667
4.5,3.0,3.5,4.2,3.75,3.667,4.0
2.75,2.4,2.25,1.4,4.5,3.667,2.0
4.25,3.0,4.0,2.2,4.0,4.667,3.333
3.75,1.8,4.0,3.4,3.75,3.333,3.333
4.25,3.0,3.5,3.4,2.5,4.0,3.0
2.5,2.0,2.5,2.0,3.5,3.0,2.0
4.5,3.6,3.75,2.6,2.25,4.333,3.333
4.5,2.2,4.0,3.2,2.5,5.0,3.0
4.75,2.0,4.75,3.2,3.0,4.0,3.0
2.5,1.4,3.0,3.2,2.75,4.0,3.0
4.75,3.4,4.5,2.4,3.75,3.667,3.667
3.75,4.6,4.25,3.4,4.5,4.333,4.0
4.0,4.2,4.0,2.2,4.25,4.333,3.667
5.0,3.4,4.25,4.4,4.0,3.667,4.0
2.75,2.4,5.0,4.0,3.75,4.333,4.0
3.75,3.4,3.75,3.6,3.75,3.333,3.667
4.25,3.0,2.75,3.6,4.25,3.0,4.0
4.75,4.8,4.5,3.6,3.75,4.667,4.0
4.75,3.0,4.5,4.6,3.5,4.0,4.333
5.0,4.2,4.0,4.2,4.75,4.667,4.0
4.25,3.8,4.25,4.6,3.75,4.333,4.0
2.75,3.4,2.25,3.4,3.75,3.333,3.0
4.5,3.2,3.75,3.2,2.75,4.0,3.0
4.5,3.2,3.5,2.6,4.0,3.667,3.333
2.0,1.8,3.75,3.4,2.5,4.333,2.333
4.5,4.0,5.0,3.8,4.75,4.0,4.333
2.75,3.2,3.25,2.6,4.0,4.667,3.0
1.75,3.4,2.0,3.0,1.75,4.333,2.0
